uncertainty,type,WZG,FakeLep,Top,VV,VVV,VG
lumi_16,lnN,1.010,,1.010,1.010,1.010,1.010
lumi_fullrun2,lnN,1.006,,1.006,1.006,1.006,1.006
JES_16,lnN,auto_cal,,auto_cal,auto_cal,auto_cal,auto_cal
JER_16,lnN,auto_cal,,auto_cal,auto_cal,auto_cal,auto_cal
FakeLep,lnN,,1.30,,,,
HLT_method_sys,lnN,1.01,,1.01,1.01,1.01,1.01
HLT_sta_16,lnN,1.003,,1.003,1.003,1.003,1.003
muon_id,lnN,auto_cal,,auto_cal,auto_cal,auto_cal,auto_cal
ele_id,lnN,auto_cal,,auto_cal,auto_cal,auto_cal,auto_cal
ele_reco,lnN,auto_cal,,auto_cal,auto_cal,auto_cal,auto_cal
photon_id,lnN,auto_cal,,auto_cal,auto_cal,auto_cal,auto_cal
pileup,lnN,auto_cal,,auto_cal,auto_cal,auto_cal,auto_cal
l1pref,lnN,auto_cal,,auto_cal,auto_cal,auto_cal,auto_cal
WZG_stat_16,lnN,auto_cal,,,,,
FakeLep_stat_16,lnN,,auto_cal,,,,
Top_stat_16,lnN,,,auto_cal,,,
VV_stat_16,lnN,,,,auto_cal,,
VVV_stat_16,lnN,,,,,auto_cal,
VG_stat_16,lnN,,,,,,auto_cal
VV_scale,rateParam,*,VV,1.0,"[0,5]",,
